date	tweet_id
2020-1-1	1
2020-1-10	136
2020-1-11	95
2020-1-12	27
2020-1-13	22
2020-1-14	2
2020-1-17	67
2020-1-18	77
2020-1-19	17
2020-1-20	478
2020-1-21	985
2020-1-22	4243
2020-1-23	6586
2020-1-24	9189
2020-1-25	13409
2020-1-26	15146
2020-1-27	12005
2020-1-28	13115
2020-1-29	15297
2020-1-30	18408
2020-1-31	17106
2020-1-4	2
2020-1-5	1
2020-1-6	2
2020-1-8	9
2020-1-9	49
2020-2-1	9813
2020-2-10	5907
2020-2-11	6913
2020-2-12	6079
2020-2-13	6563
2020-2-14	4213
2020-2-15	789
2020-2-16	3236
2020-2-17	4564
2020-2-18	4930
2020-2-19	5160
2020-2-2	10733
2020-2-20	4550
2020-2-21	5787
2020-2-22	6818
2020-2-23	9257
2020-2-24	13671
2020-2-25	20292
2020-2-26	30859
2020-2-27	36861
2020-2-28	46084
2020-2-29	36326
2020-2-3	7974
2020-2-4	7268
2020-2-5	6140
2020-2-6	6010
2020-2-7	6751
2020-2-8	6627
2020-2-9	6436
2020-3-1	26062
2020-3-10	60783
2020-3-11	82997
2020-3-12	508909
2020-3-13	4160194
2020-3-14	4457466
2020-3-15	4438878
2020-3-16	4453117
2020-3-17	4268304
2020-3-18	4447207
2020-3-19	4109446
2020-3-2	32805
2020-3-20	4036577
2020-3-21	4318899
2020-3-22	724273
2020-3-3	31443
2020-3-4	34556
2020-3-5	36634
2020-3-6	32748
2020-3-7	32629
2020-3-8	31674
2020-3-9	45130
date	1
